薄情,はくじょう,cold-hearted; heartless
薄い,うすい,thin; light
薄暗い,うすぐらい,dim; gloomy
薄める,うすめる,to dilute; to thin
麦芽,ばくが,malt
麦,むぎ,wheat; barley
爆発,ばくはつ,explosion
箱,はこ,box
肌,はだ,skin
長髪,ちょうはつ,long hair
髪,かみ,hair
白髪,しらが,gray/white hair
抜群,ばつぐん,outstanding; excellent
抜く,ぬく,to pull out
抜ける,ぬける,to come out; fall out
犯罪,はんざい,crime
犯す,おかす,to commit (a crime)
判断,はんだん,judgment; decision
評判,ひょうばん,reputation
坂,さか,slope; hill
黒板,こくばん,blackboard
鉄板,てっぱん,iron plate
まな板,まないた,cutting board
出版,しゅっぱん,publishing
一般,いっぱん,general
一般的,いっぱんてき,typical; general
全般,ぜんぱん,overall
販売,はんばい,sales
否定,ひてい,denial
賛否,さんぴ,pros and cons
皮膚,ひふ,skin
皮肉,ひにく,sarcasm; irony
皮,かわ,skin; hide
毛皮,けがわ,fur
批判,ひはん,criticism
被害,ひがい,damage
耳鼻科,じびか,ENT clinic
鼻,はな,nose
匹敵,ひってき,to compare with
～匹,～ひき,counter for small animals
筆記,ひっき,writing
筆,ふで,brush
氷山,ひょうざん,iceberg
氷,こおり,ice
評価,ひょうか,evaluation
評論,ひょうろん,critique
批評,ひひょう,criticism
目標,もくひょう,goal
標準,ひょうじゅん,standard
秒,びょう,second (time)
猫,ねこ,cat
貧困,ひんこん,poverty
貧乏,びんぼう,poor
貧しい,まずしい,poor
毛布,もうふ,blanket
分布,ぶんぷ,distribution
布,ぬの,cloth
恐怖,きょうふ,fear
怖い,こわい,scary
浮上,ふじょう,surfacing
浮く,うく,to float
浮かぶ,うかぶ,to come to mind / float
切符,きっぷ,ticket
符号,ふごう,symbol; code
豊富,ほうふ,abundant
武器,ぶき,weapon
舞台,ぶたい,stage
舞う,まう,to dance
見舞う,みまう,to visit (sick)
(お)見舞い,おみまい,get-well visit/gift
封,ふう,seal
封筒,ふうとう,envelope
副～,ふく～,sub-; vice-
増幅,ぞうふく,amplification
幅,はば,width
大幅,おおはば,large scale
復習,ふくしゅう,review
回復,かいふく,recovery
福,ふく,good fortune
幸福,こうふく,happiness
腹痛,ふくつう,stomachache
満腹,まんぷく,full stomach
空腹,くうふく,hungry
腹,はら,stomach; belly
